Fecha_medición,ID_parcela,NDVI,NDRE,Precipitación,Temperatura_media,Días_sin_lluvia,Tipo_suelo,Biomasa_real,Categoría_biomasa
2024-08-19,P008,0.208,0.107,65.4,21.2,10,Arenoso,2476.7,Baja
2024-08-26,P014,0.206,0.224,23.2,26.6,6,Arenoso,1651.7,Baja
2024-09-02,P007,0.45,0.207,1.4,23.9,3,Arenoso,3362.8,Media
2024-09-09,P007,0.848,0.235,76.4,25.2,12,Arenoso,5258.0,Media
2024-09-16,P001,0.36,0.224,62.4,32.5,3,Arcilloso,1829.6,Baja
2024-09-23,P017,0.644,0.131,76.2,34.0,8,Arenoso,3624.0,Media
2024-09-30,P009,0.355,0.329,3.9,22.8,5,Franco,3048.1,Media
2024-10-07,P013,0.425,0.466,83.7,25.6,14,Arcilloso,3229.1,Media
2024-10-14,P019,0.794,0.403,62.0,33.9,3,Arcilloso,4100.7,Media
2024-10-21,P019,0.71,0.436,56.3,20.9,1,Arenoso,5591.1,Media
2024-10-28,P017,0.267,0.141,62.5,21.4,5,Arcilloso,2873.9,Baja
2024-11-04,P010,0.5,0.576,86.4,22.4,1,Arenoso,3613.6,Media
2024-11-11,P010,0.22,0.519,58.7,28.9,4,Franco,1956.3,Baja
2024-11-18,P004,0.537,0.503,58.1,22.3,5,Arenoso,3463.7,Media
2024-11-25,P008,0.664,0.511,99.1,34.5,3,Arcilloso,3405.9,Media
2024-12-02,P020,0.283,0.566,75.7,26.7,13,Franco,2340.7,Baja
2024-12-09,P020,0.402,0.372,44.2,27.5,12,Arenoso,2799.3,Baja
2024-12-16,P018,0.478,0.2,70.7,23.7,2,Franco,3419.9,Media
2024-12-23,P014,0.844,0.408,38.9,27.1,6,Franco,4706.3,Media
2024-12-30,P018,0.895,0.471,22.9,29.9,1,Arcilloso,4748.2,Media
2025-01-06,P014,0.231,0.469,59.7,31.3,12,Franco,1555.6,Baja
2025-01-13,P020,0.733,0.361,92.8,31.3,10,Arcilloso,3700.9,Media
2025-01-20,P015,0.46,0.134,92.9,28.7,13,Franco,3461.1,Media
2025-01-27,P004,0.475,0.286,34.2,33.6,5,Arenoso,1722.7,Baja
2025-02-03,P013,0.728,0.56,52.8,32.3,12,Franco,3813.0,Media
2025-02-10,P008,0.843,0.392,21.2,31.4,3,Arenoso,4608.1,Media
2025-02-17,P018,0.866,0.369,99.6,20.8,5,Arenoso,5902.2,Media
2025-02-24,P012,0.604,0.234,98.1,20.1,3,Franco,4235.2,Media
2025-03-03,P014,0.45,0.284,65.0,23.2,3,Arenoso,3770.3,Media
2025-03-10,P002,0.751,0.548,80.4,30.0,14,Franco,3836.9,Media
2025-03-17,P018,0.376,0.433,71.5,26.2,3,Franco,2590.2,Baja
2025-03-24,P002,0.595,0.494,59.3,26.0,8,Arenoso,4061.2,Media
2025-03-31,P011,0.451,0.327,5.3,33.3,6,Arenoso,2737.1,Baja
2025-04-07,P009,0.66,0.415,45.5,33.4,2,Arcilloso,3038.8,Media
2025-04-14,P012,0.368,0.224,67.5,33.6,2,Arenoso,2773.5,Baja
2025-04-21,P017,0.334,0.453,67.8,24.7,5,Arcilloso,2430.8,Baja
2025-04-28,P015,0.843,0.314,37.3,30.4,5,Arenoso,4281.3,Media
2025-05-05,P017,0.271,0.321,94.2,24.1,3,Franco,2595.8,Baja
2025-05-12,P018,0.554,0.425,16.7,22.9,14,Arenoso,3875.5,Media
2025-05-19,P006,0.355,0.568,50.0,22.8,14,Franco,2846.2,Baja
2025-05-26,P017,0.227,0.132,69.1,25.1,8,Franco,2303.7,Baja
2025-06-02,P018,0.225,0.512,69.7,26.4,3,Franco,1526.8,Baja
2025-06-09,P008,0.323,0.246,64.9,32.5,8,Arcilloso,1354.4,Baja
2025-06-16,P009,0.807,0.322,27.5,21.8,3,Arenoso,5175.8,Media
2025-06-23,P006,0.398,0.111,15.6,31.0,1,Franco,2713.4,Baja
2025-06-30,P005,0.865,0.251,63.6,28.0,1,Franco,4858.8,Media
2025-07-07,P012,0.607,0.351,59.9,24.3,4,Arcilloso,4584.7,Media
2025-07-14,P011,0.506,0.128,17.9,27.4,3,Arenoso,3650.3,Media
2025-07-21,P001,0.606,0.346,70.5,24.5,6,Arenoso,4164.9,Media
2025-07-28,P011,0.562,0.564,45.5,28.9,13,Arcilloso,3521.9,Media
2025-08-04,P019,0.731,0.153,66.8,26.5,10,Arcilloso,4589.6,Media
2025-08-11,P009,0.398,0.482,83.7,22.5,4,Arenoso,3287.9,Media
2025-08-18,P002,0.447,0.305,17.0,21.7,5,Arcilloso,3455.1,Media
2025-08-25,P012,0.826,0.428,1.9,28.2,9,Arenoso,4734.9,Media
2025-09-01,P004,0.863,0.23,77.9,33.5,3,Arenoso,4144.0,Media
2025-09-08,P004,0.825,0.18,61.0,25.2,12,Franco,4442.0,Media
2025-09-15,P018,0.494,0.18,70.0,31.0,11,Franco,3201.2,Media
2025-09-22,P015,0.746,0.135,83.8,29.9,1,Arenoso,4287.2,Media
2025-09-29,P019,0.533,0.193,80.3,34.0,12,Arenoso,2766.9,Baja
2025-10-06,P013,0.548,0.432,96.1,32.3,9,Arenoso,3129.5,Media
2025-10-13,P019,0.343,0.541,53.6,28.5,8,Arenoso,2116.5,Baja
2025-10-20,P017,0.614,0.507,48.8,29.9,9,Arenoso,3279.7,Media
2025-10-27,P006,0.33,0.443,40.2,33.5,14,Arenoso,1714.9,Baja
2025-11-03,P016,0.432,0.155,15.4,26.0,6,Arcilloso,3470.4,Media
2025-11-10,P012,0.799,0.245,57.3,24.9,3,Arenoso,4654.4,Media
2025-11-17,P019,0.345,0.255,27.7,20.2,2,Arcilloso,2416.9,Baja
2025-11-24,P005,0.25,0.225,92.1,32.4,9,Arcilloso,1353.6,Baja
2025-12-01,P017,0.248,0.358,58.3,32.0,13,Arenoso,1882.8,Baja
2025-12-08,P001,0.859,0.368,59.3,21.6,14,Arenoso,5115.2,Media
2025-12-15,P010,0.555,0.278,35.5,28.7,2,Arcilloso,3050.9,Media
2025-12-22,P015,0.487,0.277,5.2,27.0,8,Arcilloso,3314.1,Media
2025-12-29,P011,0.768,0.514,3.2,21.8,4,Arenoso,5931.0,Media
2026-01-05,P013,0.785,0.495,42.3,34.7,12,Arenoso,3547.5,Media
2026-01-12,P005,0.433,0.254,8.5,23.2,14,Arcilloso,2925.9,Baja
2026-01-19,P001,0.686,0.557,60.7,21.0,2,Arcilloso,4931.6,Media
2026-01-26,P012,0.74,0.576,88.1,28.9,14,Arcilloso,4671.4,Media
2026-02-02,P011,0.658,0.263,88.3,31.1,4,Franco,3492.8,Media
2026-02-09,P017,0.306,0.277,65.9,20.5,1,Arcilloso,2493.6,Baja
2026-02-16,P004,0.813,0.353,21.1,29.9,10,Franco,4705.1,Media
2026-02-23,P015,0.577,0.571,86.3,28.0,3,Arenoso,3769.5,Media
2026-03-02,P009,0.398,0.538,88.6,21.5,9,Arenoso,3873.6,Media
2026-03-09,P020,0.498,0.151,19.7,22.6,1,Arcilloso,3927.1,Media
2026-03-16,P019,0.226,0.296,73.7,28.5,1,Arenoso,2028.4,Baja
2026-03-23,P019,0.29,0.377,28.7,24.4,11,Arenoso,2431.4,Baja
2026-03-30,P012,0.736,0.352,80.3,34.1,7,Arenoso,4502.5,Media
2026-04-06,P005,0.2,0.197,99.7,32.3,0,Arenoso,1150.6,Baja
2026-04-13,P010,0.492,0.529,3.0,34.8,13,Franco,2296.4,Baja
2026-04-20,P017,0.566,0.438,89.7,23.9,6,Franco,4482.9,Media
2026-04-27,P005,0.238,0.519,62.3,34.5,4,Arcilloso,797.7,Baja
2026-05-04,P016,0.881,0.529,97.3,26.5,14,Arcilloso,4700.8,Media
2026-05-11,P007,0.358,0.474,46.5,25.2,10,Arcilloso,2805.9,Baja
2026-05-18,P009,0.413,0.32,84.7,20.8,7,Arenoso,3484.5,Media
2026-05-25,P003,0.413,0.405,6.2,20.8,0,Arenoso,3416.6,Media
2026-06-01,P015,0.361,0.18,33.5,30.4,10,Franco,2563.2,Baja
2026-06-08,P016,0.201,0.437,6.7,26.9,6,Franco,1542.5,Baja
2026-06-15,P018,0.711,0.19,97.5,23.4,4,Arcilloso,4734.3,Media
2026-06-22,P014,0.877,0.447,81.7,29.2,3,Franco,4857.0,Media
2026-06-29,P003,0.357,0.215,85.3,23.8,6,Franco,2637.6,Baja
2026-07-06,P012,0.664,0.159,93.8,28.7,9,Franco,3931.4,Media
2026-07-13,P009,0.719,0.183,8.5,25.4,14,Franco,4810.8,Media
2026-07-20,P007,0.794,0.101,38.6,32.4,1,Franco,4866.2,Media
2026-07-27,P009,0.496,0.459,7.1,32.3,11,Arcilloso,2923.8,Baja
2026-08-03,P013,0.412,0.466,21.1,27.2,14,Arcilloso,2086.7,Baja
2026-08-10,P018,0.428,0.357,22.9,25.3,0,Franco,3098.6,Media
2026-08-17,P005,0.699,0.181,46.9,25.4,0,Arcilloso,4469.9,Media
2026-08-24,P013,0.772,0.142,26.9,32.1,10,Arenoso,4430.9,Media
2026-08-31,P004,0.327,0.11,10.1,24.9,11,Franco,2700.4,Baja
2026-09-07,P002,0.46,0.183,16.7,23.1,0,Arenoso,3865.9,Media
2026-09-14,P016,0.831,0.545,14.7,21.3,14,Arcilloso,5642.5,Media
2026-09-21,P009,0.765,0.221,97.3,27.0,11,Arcilloso,5092.6,Media
2026-09-28,P009,0.889,0.277,75.9,27.2,4,Arenoso,5093.4,Media
2026-10-05,P006,0.728,0.153,96.8,32.6,9,Arcilloso,3923.3,Media
2026-10-12,P011,0.475,0.211,44.0,23.3,6,Franco,3793.0,Media
2026-10-19,P001,0.613,0.36,27.8,25.7,1,Arenoso,3823.3,Media
2026-10-26,P004,0.663,0.404,79.8,32.1,9,Franco,3368.0,Media
2026-11-02,P013,0.255,0.223,32.6,32.4,7,Arenoso,1346.2,Baja
2026-11-09,P013,0.581,0.129,29.9,25.8,3,Arcilloso,3600.2,Media
2026-11-16,P013,0.697,0.296,23.3,26.9,11,Arenoso,4451.8,Media
2026-11-23,P002,0.317,0.217,13.0,24.5,2,Arenoso,2084.6,Baja
2026-11-30,P009,0.746,0.21,25.6,34.0,9,Franco,3363.2,Media
2026-12-07,P008,0.609,0.58,35.5,21.8,10,Arcilloso,4923.8,Media
2026-12-14,P007,0.867,0.408,67.4,34.0,7,Franco,4217.5,Media
2026-12-21,P004,0.23,0.378,6.3,30.3,1,Arcilloso,1680.0,Baja
2026-12-28,P018,0.386,0.308,21.1,28.0,10,Franco,2183.3,Baja
2027-01-04,P003,0.621,0.314,80.9,20.5,10,Arenoso,4583.2,Media
2027-01-11,P006,0.408,0.37,14.7,27.1,12,Franco,2614.3,Baja
2027-01-18,P012,0.7,0.448,34.3,26.1,2,Arcilloso,3921.1,Media
2027-01-25,P012,0.731,0.451,86.5,22.4,11,Arcilloso,5316.1,Media
2027-02-01,P008,0.272,0.186,15.5,29.8,2,Arenoso,2234.8,Baja
2027-02-08,P001,0.56,0.35,8.3,34.6,9,Arcilloso,2807.8,Baja
2027-02-15,P004,0.556,0.306,48.5,28.4,10,Franco,3739.8,Media
2027-02-22,P011,0.458,0.535,30.2,30.7,0,Arenoso,3291.0,Media
2027-03-01,P003,0.853,0.416,56.3,21.0,5,Arcilloso,5891.2,Media
2027-03-08,P013,0.779,0.366,80.4,26.3,1,Arcilloso,4908.9,Media
2027-03-15,P017,0.688,0.158,13.7,21.7,0,Franco,4829.7,Media
2027-03-22,P010,0.7,0.403,58.1,29.2,1,Franco,4274.8,Media
2027-03-29,P012,0.523,0.159,50.6,34.1,11,Arenoso,2595.8,Baja
2027-04-05,P015,0.845,0.269,14.4,29.9,5,Arcilloso,4652.0,Media
2027-04-12,P010,0.686,0.171,62.4,21.2,13,Franco,4945.3,Media
2027-04-19,P014,0.71,0.446,27.4,25.3,3,Arenoso,4377.8,Media
2027-04-26,P013,0.803,0.203,48.8,28.3,5,Arcilloso,4575.3,Media
2027-05-03,P005,0.392,0.296,8.2,26.0,11,Arcilloso,2860.1,Baja
2027-05-10,P006,0.765,0.548,46.0,32.5,8,Arenoso,4420.2,Media
2027-05-17,P002,0.337,0.202,30.6,32.2,12,Arenoso,1625.2,Baja
2027-05-24,P017,0.442,0.354,82.2,29.2,9,Franco,3017.8,Media
2027-05-31,P004,0.435,0.31,5.7,25.6,11,Arcilloso,3352.5,Media
2027-06-07,P014,0.885,0.109,41.9,23.8,9,Arcilloso,5780.7,Media
2027-06-14,P010,0.8,0.496,45.8,21.6,7,Arcilloso,5098.0,Media
2027-06-21,P003,0.691,0.135,72.5,25.3,0,Arenoso,3917.2,Media
2027-06-28,P003,0.709,0.337,57.4,26.2,12,Franco,4592.9,Media
2027-07-05,P015,0.593,0.38,66.7,30.1,7,Arcilloso,3511.3,Media
2027-07-12,P006,0.863,0.414,77.7,29.9,8,Arenoso,5126.3,Media
2027-07-19,P017,0.547,0.444,86.2,21.1,5,Arcilloso,3914.8,Media
2027-07-26,P012,0.466,0.227,31.4,25.9,9,Franco,3468.0,Media
2027-08-02,P020,0.314,0.105,53.8,22.7,14,Arcilloso,3116.3,Media
2027-08-09,P011,0.75,0.462,84.0,22.4,4,Franco,4981.4,Media
2027-08-16,P004,0.714,0.368,98.9,32.4,5,Franco,3955.1,Media
2027-08-23,P006,0.469,0.518,89.0,20.6,12,Arcilloso,3899.6,Media
2027-08-30,P001,0.218,0.511,37.1,26.3,5,Arcilloso,1713.6,Baja
2027-09-06,P020,0.787,0.522,19.5,22.5,8,Franco,5344.3,Media
2027-09-13,P016,0.208,0.343,48.9,33.2,3,Arenoso,1706.7,Baja
2027-09-20,P015,0.693,0.267,74.2,28.4,1,Franco,4131.7,Media
2027-09-27,P017,0.879,0.496,49.3,23.5,10,Arcilloso,5106.7,Media
2027-10-04,P008,0.506,0.326,48.3,27.5,10,Arcilloso,3073.8,Media
2027-10-11,P012,0.364,0.192,83.8,31.0,8,Arenoso,1686.2,Baja
2027-10-18,P010,0.693,0.527,36.1,34.4,1,Franco,3912.1,Media
2027-10-25,P015,0.772,0.541,86.0,23.3,9,Franco,5259.2,Media
2027-11-01,P009,0.583,0.333,40.7,33.3,8,Franco,2934.6,Baja
2027-11-08,P002,0.877,0.138,32.8,34.0,1,Arcilloso,4059.6,Media
2027-11-15,P005,0.236,0.294,45.4,33.7,11,Franco,1060.0,Baja
2027-11-22,P006,0.553,0.502,76.2,29.5,7,Arenoso,3123.5,Media
2027-11-29,P007,0.703,0.551,12.6,29.4,8,Arcilloso,4107.8,Media
2027-12-06,P001,0.804,0.202,19.6,26.0,11,Arcilloso,4942.7,Media
2027-12-13,P007,0.325,0.133,95.1,31.3,9,Franco,2397.4,Baja
2027-12-20,P020,0.76,0.539,17.5,28.0,8,Arenoso,4292.2,Media
2027-12-27,P012,0.587,0.295,56.8,30.2,9,Arcilloso,2962.5,Baja
2028-01-03,P016,0.478,0.371,57.9,26.4,8,Arcilloso,2902.9,Baja
2028-01-10,P016,0.292,0.584,49.0,31.0,1,Franco,1853.1,Baja
2028-01-17,P011,0.806,0.133,64.5,32.4,3,Franco,4071.4,Media
2028-01-24,P004,0.31,0.424,23.0,22.2,6,Arenoso,2742.4,Baja
2028-01-31,P013,0.417,0.137,55.3,32.5,11,Franco,2198.8,Baja
2028-02-07,P007,0.403,0.288,37.2,28.1,1,Arenoso,3002.1,Media
2028-02-14,P004,0.81,0.502,66.2,32.7,0,Arcilloso,4103.9,Media
2028-02-21,P015,0.671,0.317,14.1,26.5,2,Arenoso,4091.8,Media
2028-02-28,P019,0.758,0.599,57.1,25.7,11,Arenoso,4935.2,Media
2028-03-06,P009,0.375,0.38,18.5,33.7,3,Arenoso,1835.5,Baja
2028-03-13,P011,0.637,0.261,27.9,23.8,7,Arcilloso,4432.0,Media
2028-03-20,P008,0.6,0.21,21.9,32.7,5,Franco,3329.4,Media
2028-03-27,P001,0.783,0.275,18.3,27.3,10,Arcilloso,4727.5,Media
2028-04-03,P008,0.834,0.286,82.6,27.7,1,Franco,4559.7,Media
2028-04-10,P013,0.209,0.134,28.6,24.6,14,Arenoso,2453.9,Baja
2028-04-17,P004,0.672,0.285,92.7,28.6,8,Arenoso,4666.2,Media
2028-04-24,P008,0.236,0.332,97.0,24.9,13,Arenoso,2192.6,Baja
2028-05-01,P003,0.584,0.461,57.1,20.6,1,Arenoso,4046.1,Media
2028-05-08,P009,0.401,0.428,14.3,24.1,12,Arenoso,3103.7,Media
2028-05-15,P002,0.415,0.454,37.5,20.1,14,Franco,3862.0,Media
2028-05-22,P002,0.447,0.104,79.8,34.7,11,Franco,2080.4,Baja
2028-05-29,P013,0.635,0.209,36.7,34.5,4,Arenoso,3186.3,Media
2028-06-05,P015,0.434,0.431,8.7,25.9,11,Arcilloso,3182.2,Media
2028-06-12,P012,0.713,0.342,55.7,30.9,3,Arcilloso,4335.9,Media
2028-06-19,P004,0.483,0.103,84.5,25.2,12,Arenoso,3627.6,Media
2028-06-26,P008,0.248,0.502,79.6,30.1,6,Franco,1975.1,Baja
2028-07-03,P009,0.749,0.486,17.5,32.1,7,Arcilloso,3907.1,Media
2028-07-10,P005,0.4,0.374,67.3,34.2,4,Arcilloso,2200.6,Baja
2028-07-17,P020,0.503,0.133,22.1,26.0,9,Arcilloso,3198.4,Media
2028-07-24,P018,0.68,0.483,21.8,31.7,13,Arenoso,3983.7,Media
2028-07-31,P011,0.433,0.392,87.4,24.0,13,Arcilloso,3610.4,Media
2028-08-07,P015,0.24,0.491,25.0,34.9,4,Arcilloso,1376.0,Baja
2028-08-14,P009,0.462,0.476,26.3,20.4,1,Arcilloso,3659.8,Media
2028-08-21,P017,0.861,0.502,0.1,29.1,7,Arcilloso,4833.9,Media
2028-08-28,P012,0.649,0.359,87.1,29.9,13,Franco,4297.0,Media
2028-09-04,P007,0.67,0.17,79.3,30.3,1,Arenoso,3714.8,Media
2028-09-11,P010,0.643,0.436,62.7,21.8,9,Arenoso,4850.0,Media
2028-09-18,P010,0.339,0.41,75.0,34.1,11,Franco,1886.7,Baja
2028-09-25,P013,0.493,0.471,15.2,22.7,5,Franco,3594.8,Media
2028-10-02,P019,0.726,0.185,45.8,29.3,7,Arenoso,3796.6,Media
2028-10-09,P011,0.271,0.197,35.1,23.3,5,Arcilloso,2588.5,Baja
2028-10-16,P013,0.394,0.545,9.4,24.6,3,Arcilloso,3037.3,Media
2028-10-23,P008,0.393,0.475,48.6,28.2,12,Arenoso,3187.0,Media
2028-10-30,P008,0.502,0.554,92.1,26.3,3,Arcilloso,3121.9,Media
2028-11-06,P004,0.886,0.479,4.0,22.4,5,Franco,6378.4,Alta
2028-11-13,P015,0.247,0.399,29.1,22.6,13,Arcilloso,2588.6,Baja
2028-11-20,P011,0.563,0.427,20.8,26.3,14,Arcilloso,3798.3,Media
2028-11-27,P011,0.326,0.545,23.8,31.4,12,Arcilloso,1812.1,Baja
2028-12-04,P001,0.879,0.389,90.8,33.5,3,Arenoso,4639.4,Media
2028-12-11,P017,0.279,0.416,46.8,21.3,7,Franco,2906.9,Baja
2028-12-18,P015,0.483,0.178,46.6,25.9,8,Arcilloso,3606.2,Media
2028-12-25,P020,0.717,0.337,76.1,21.5,0,Arenoso,4641.5,Media
2029-01-01,P006,0.693,0.458,15.4,20.2,12,Arcilloso,5367.0,Media
2029-01-08,P015,0.496,0.235,48.7,29.9,3,Franco,3098.4,Media
2029-01-15,P009,0.443,0.201,43.0,29.0,3,Arcilloso,2997.5,Baja
2029-01-22,P014,0.478,0.257,59.7,22.4,1,Franco,3583.7,Media
2029-01-29,P018,0.385,0.221,100.0,23.5,5,Arcilloso,2796.6,Baja
2029-02-05,P017,0.344,0.207,76.9,20.4,2,Franco,3201.8,Media
2029-02-12,P018,0.538,0.312,39.8,32.5,6,Arcilloso,2996.2,Baja
2029-02-19,P005,0.388,0.554,82.8,34.6,12,Franco,1564.4,Baja
2029-02-26,P020,0.401,0.354,17.1,22.0,10,Arcilloso,3543.0,Media
2029-03-05,P020,0.66,0.194,3.0,23.5,10,Arcilloso,4749.0,Media
2029-03-12,P009,0.878,0.138,20.4,33.0,4,Arenoso,4371.1,Media
2029-03-19,P011,0.623,0.448,34.0,33.9,3,Arenoso,2918.2,Baja
2029-03-26,P001,0.254,0.291,51.1,26.3,4,Franco,2049.1,Baja
2029-04-02,P018,0.253,0.511,61.5,20.8,7,Arcilloso,2692.2,Baja
2029-04-09,P006,0.866,0.43,91.1,20.6,2,Franco,5690.7,Media
2029-04-16,P002,0.408,0.498,51.0,28.6,13,Arenoso,2661.7,Baja
2029-04-23,P015,0.264,0.236,50.1,25.9,6,Franco,2296.4,Baja
2029-04-30,P014,0.619,0.446,5.0,20.4,14,Franco,4144.5,Media
2029-05-07,P005,0.637,0.232,3.5,28.7,13,Arenoso,3439.0,Media
2029-05-14,P006,0.654,0.57,55.1,20.2,5,Arcilloso,3933.3,Media
2029-05-21,P006,0.387,0.418,43.8,31.8,11,Franco,2537.8,Baja
2029-05-28,P018,0.211,0.262,83.9,24.6,0,Arenoso,2099.6,Baja
2029-06-04,P014,0.876,0.235,16.1,20.6,12,Arcilloso,6134.4,Alta
2029-06-11,P010,0.376,0.195,2.5,28.8,6,Arenoso,2158.7,Baja
2029-06-18,P014,0.673,0.447,44.9,26.0,13,Franco,4272.3,Media
2029-06-25,P013,0.695,0.209,23.7,34.6,12,Arcilloso,3579.4,Media
2029-07-02,P003,0.627,0.398,5.0,28.2,6,Arcilloso,3646.5,Media
2029-07-09,P006,0.419,0.232,72.5,24.1,13,Arenoso,2719.0,Baja
2029-07-16,P008,0.39,0.431,11.2,30.6,14,Arenoso,2913.8,Baja
2029-07-23,P012,0.618,0.507,60.8,24.1,11,Arenoso,4599.8,Media
2029-07-30,P013,0.806,0.489,28.1,33.6,0,Arcilloso,4055.4,Media
2029-08-06,P011,0.863,0.48,17.3,25.6,8,Arcilloso,5408.1,Media
2029-08-13,P012,0.274,0.194,38.0,28.2,5,Franco,1904.6,Baja
2029-08-20,P001,0.308,0.144,80.1,20.8,14,Arcilloso,2661.4,Baja
2029-08-27,P017,0.861,0.449,39.2,26.4,11,Franco,5713.2,Media
2029-09-03,P016,0.716,0.284,75.1,32.5,1,Arenoso,3333.4,Media
2029-09-10,P011,0.818,0.316,12.5,32.1,4,Arenoso,4294.3,Media
2029-09-17,P013,0.342,0.116,77.3,23.4,12,Arcilloso,2895.3,Baja
2029-09-24,P018,0.611,0.23,23.7,23.4,10,Arenoso,4710.4,Media
